Operating Factor,Lifetime (yr),Annual Op. Emissions - Gasoline (gCO2e),Annual Op. Emissions - Diesel (gCO2e),Annual Op. Emissions - Total (gCO2e),Lifetime Op. Emissions (gCO2e),Construction Emissions (gCO2e),Total Emissions (gCO2e),Construction Share (%)
0.5,10,2.5303e+10,8.7550e+09,3.4058e+10,3.4058e+11,1.1185e+11,4.5243e+11,24.7225
0.55,10,2.7833e+10,9.6305e+09,3.7463e+10,3.7463e+11,1.1185e+11,4.8648e+11,22.9918
0.6,10,3.0363e+10,1.0506e+10,4.0869e+10,4.0869e+11,1.1185e+11,5.2054e+11,21.4875
0.65,10,3.2893e+10,1.1382e+10,4.4275e+10,4.4275e+11,1.1185e+11,5.5460e+11,20.1679
0.7,10,3.5424e+10,1.2257e+10,4.7681e+10,4.7681e+11,1.1185e+11,5.8866e+11,19.0011
0.75,10,3.7954e+10,1.3133e+10,5.1086e+10,5.1086e+11,1.1185e+11,6.2271e+11,17.9619
0.8,10,4.0484e+10,1.4008e+10,5.4492e+10,5.4492e+11,1.1185e+11,6.5677e+11,17.0305
0.85,10,4.3014e+10,1.4884e+10,5.7898e+10,5.7898e+11,1.1185e+11,6.9083e+11,16.1909
0.9,10,4.5545e+10,1.5759e+10,6.1304e+10,6.1304e+11,1.1185e+11,7.2489e+11,15.4302
0.5,15,2.5303e+10,8.7550e+09,3.4058e+10,5.1086e+11,1.1185e+11,6.2271e+11,17.9619
0.55,15,2.7833e+10,9.6305e+09,3.7463e+10,5.6195e+11,1.1185e+11,6.7380e+11,16.6001
0.6,15,3.0363e+10,1.0506e+10,4.0869e+10,6.1304e+11,1.1185e+11,7.2489e+11,15.4302
0.65,15,3.2893e+10,1.1382e+10,4.4275e+10,6.6412e+11,1.1185e+11,7.7597e+11,14.4143
0.7,15,3.5424e+10,1.2257e+10,4.7681e+10,7.1521e+11,1.1185e+11,8.2706e+11,13.524
0.75,15,3.7954e+10,1.3133e+10,5.1086e+10,7.6630e+11,1.1185e+11,8.7815e+11,12.7372
0.8,15,4.0484e+10,1.4008e+10,5.4492e+10,8.1738e+11,1.1185e+11,9.2923e+11,12.037
0.85,15,4.3014e+10,1.4884e+10,5.7898e+10,8.6847e+11,1.1185e+11,9.8032e+11,11.4097
0.9,15,4.5545e+10,1.5759e+10,6.1304e+10,9.1955e+11,1.1185e+11,1.0314e+12,10.8446
0.5,20,2.5303e+10,8.7550e+09,3.4058e+10,6.8115e+11,1.1185e+11,7.9300e+11,14.1048
0.55,20,2.7833e+10,9.6305e+09,3.7463e+10,7.4927e+11,1.1185e+11,8.6112e+11,12.9891
0.6,20,3.0363e+10,1.0506e+10,4.0869e+10,8.1738e+11,1.1185e+11,9.2923e+11,12.037
0.65,20,3.2893e+10,1.1382e+10,4.4275e+10,8.8550e+11,1.1185e+11,9.9735e+11,11.2149
0.7,20,3.5424e+10,1.2257e+10,4.7681e+10,9.5361e+11,1.1185e+11,1.0655e+12,10.4979
0.75,20,3.7954e+10,1.3133e+10,5.1086e+10,1.0217e+12,1.1185e+11,1.1336e+12,9.8671
0.8,20,4.0484e+10,1.4008e+10,5.4492e+10,1.0898e+12,1.1185e+11,1.2017e+12,9.3078
0.85,20,4.3014e+10,1.4884e+10,5.7898e+10,1.1580e+12,1.1185e+11,1.2698e+12,8.8085
0.9,20,4.5545e+10,1.5759e+10,6.1304e+10,1.2261e+12,1.1185e+11,1.3379e+12,8.3601
0.5,25,2.5303e+10,8.7550e+09,3.4058e+10,8.5144e+11,1.1185e+11,9.6329e+11,11.6114
0.55,25,2.7833e+10,9.6305e+09,3.7463e+10,9.3658e+11,1.1185e+11,1.0484e+12,10.6684
0.6,25,3.0363e+10,1.0506e+10,4.0869e+10,1.0217e+12,1.1185e+11,1.1336e+12,9.8671
0.65,25,3.2893e+10,1.1382e+10,4.4275e+10,1.1069e+12,1.1185e+11,1.2187e+12,9.1778
0.7,25,3.5424e+10,1.2257e+10,4.7681e+10,1.1920e+12,1.1185e+11,1.3039e+12,8.5784
0.75,25,3.7954e+10,1.3133e+10,5.1086e+10,1.2772e+12,1.1185e+11,1.3890e+12,8.0526
0.8,25,4.0484e+10,1.4008e+10,5.4492e+10,1.3623e+12,1.1185e+11,1.4742e+12,7.5875
0.85,25,4.3014e+10,1.4884e+10,5.7898e+10,1.4474e+12,1.1185e+11,1.5593e+12,7.1732
0.9,25,4.5545e+10,1.5759e+10,6.1304e+10,1.5326e+12,1.1185e+11,1.6444e+12,6.8018
0.5,30,2.5303e+10,8.7550e+09,3.4058e+10,1.0217e+12,1.1185e+11,1.1336e+12,9.8671
0.55,30,2.7833e+10,9.6305e+09,3.7463e+10,1.1239e+12,1.1185e+11,1.2358e+12,9.0513
0.6,30,3.0363e+10,1.0506e+10,4.0869e+10,1.2261e+12,1.1185e+11,1.3379e+12,8.3601
0.65,30,3.2893e+10,1.1382e+10,4.4275e+10,1.3282e+12,1.1185e+11,1.4401e+12,7.7669
0.7,30,3.5424e+10,1.2257e+10,4.7681e+10,1.4304e+12,1.1185e+11,1.5423e+12,7.2524
0.75,30,3.7954e+10,1.3133e+10,5.1086e+10,1.5326e+12,1.1185e+11,1.6444e+12,6.8018
0.8,30,4.0484e+10,1.4008e+10,5.4492e+10,1.6348e+12,1.1185e+11,1.7466e+12,6.4039
0.85,30,4.3014e+10,1.4884e+10,5.7898e+10,1.7369e+12,1.1185e+11,1.8488e+12,6.05
0.9,30,4.5545e+10,1.5759e+10,6.1304e+10,1.8391e+12,1.1185e+11,1.9510e+12,5.7331
