Operating Factor,Lifetime (yr),Annual Op. Emissions - Gasoline (gCO2e),Annual Op. Emissions - Diesel (gCO2e),Annual Op. Emissions - Total (gCO2e),Lifetime Op. Emissions (gCO2e),Construction Emissions (gCO2e),Total Emissions (gCO2e),Construction Share (%)
0.5,10,1.7948e+10,1.9596e+10,3.7544e+10,3.7544e+11,1.2106e+11,4.9650e+11,24.3832
0.55,10,1.9743e+10,2.1556e+10,4.1298e+10,4.1298e+11,1.2106e+11,5.3404e+11,22.6691
0.6,10,2.1537e+10,2.3515e+10,4.5052e+10,4.5052e+11,1.2106e+11,5.7159e+11,21.1801
0.65,10,2.3332e+10,2.5475e+10,4.8807e+10,4.8807e+11,1.2106e+11,6.0913e+11,19.8747
0.7,10,2.5127e+10,2.7434e+10,5.2561e+10,5.2561e+11,1.2106e+11,6.4667e+11,18.7208
0.75,10,2.6922e+10,2.9394e+10,5.6316e+10,5.6316e+11,1.2106e+11,6.8422e+11,17.6936
0.8,10,2.8716e+10,3.1354e+10,6.0070e+10,6.0070e+11,1.2106e+11,7.2176e+11,16.7732
0.85,10,3.0511e+10,3.3313e+10,6.3824e+10,6.3824e+11,1.2106e+11,7.5931e+11,15.9439
0.9,10,3.2306e+10,3.5273e+10,6.7579e+10,6.7579e+11,1.2106e+11,7.9685e+11,15.1927
0.5,15,1.7948e+10,1.9596e+10,3.7544e+10,5.6316e+11,1.2106e+11,6.8422e+11,17.6936
0.55,15,1.9743e+10,2.1556e+10,4.1298e+10,6.1947e+11,1.2106e+11,7.4053e+11,16.348
0.6,15,2.1537e+10,2.3515e+10,4.5052e+10,6.7579e+11,1.2106e+11,7.9685e+11,15.1927
0.65,15,2.3332e+10,2.5475e+10,4.8807e+10,7.3210e+11,1.2106e+11,8.5316e+11,14.1898
0.7,15,2.5127e+10,2.7434e+10,5.2561e+10,7.8842e+11,1.2106e+11,9.0948e+11,13.3112
0.75,15,2.6922e+10,2.9394e+10,5.6316e+10,8.4473e+11,1.2106e+11,9.6580e+11,12.535
0.8,15,2.8716e+10,3.1354e+10,6.0070e+10,9.0105e+11,1.2106e+11,1.0221e+12,11.8444
0.85,15,3.0511e+10,3.3313e+10,6.3824e+10,9.5736e+11,1.2106e+11,1.0784e+12,11.2259
0.9,15,3.2306e+10,3.5273e+10,6.7579e+10,1.0137e+12,1.2106e+11,1.1347e+12,10.6687
0.5,20,1.7948e+10,1.9596e+10,3.7544e+10,7.5087e+11,1.2106e+11,8.7194e+11,13.8843
0.55,20,1.9743e+10,2.1556e+10,4.1298e+10,8.2596e+11,1.2106e+11,9.4702e+11,12.7835
0.6,20,2.1537e+10,2.3515e+10,4.5052e+10,9.0105e+11,1.2106e+11,1.0221e+12,11.8444
0.65,20,2.3332e+10,2.5475e+10,4.8807e+10,9.7614e+11,1.2106e+11,1.0972e+12,11.0338
0.7,20,2.5127e+10,2.7434e+10,5.2561e+10,1.0512e+12,1.2106e+11,1.1723e+12,10.3271
0.75,20,2.6922e+10,2.9394e+10,5.6316e+10,1.1263e+12,1.2106e+11,1.2474e+12,9.7054
0.8,20,2.8716e+10,3.1354e+10,6.0070e+10,1.2014e+12,1.2106e+11,1.3225e+12,9.1543
0.85,20,3.0511e+10,3.3313e+10,6.3824e+10,1.2765e+12,1.2106e+11,1.3975e+12,8.6625
0.9,20,3.2306e+10,3.5273e+10,6.7579e+10,1.3516e+12,1.2106e+11,1.4726e+12,8.2208
0.5,25,1.7948e+10,1.9596e+10,3.7544e+10,9.3859e+11,1.2106e+11,1.0597e+12,11.4247
0.55,25,1.9743e+10,2.1556e+10,4.1298e+10,1.0325e+12,1.2106e+11,1.1535e+12,10.4951
0.6,25,2.1537e+10,2.3515e+10,4.5052e+10,1.1263e+12,1.2106e+11,1.2474e+12,9.7054
0.65,25,2.3332e+10,2.5475e+10,4.8807e+10,1.2202e+12,1.2106e+11,1.3412e+12,9.0262
0.7,25,2.5127e+10,2.7434e+10,5.2561e+10,1.3140e+12,1.2106e+11,1.4351e+12,8.4359
0.75,25,2.6922e+10,2.9394e+10,5.6316e+10,1.4079e+12,1.2106e+11,1.5290e+12,7.918
0.8,25,2.8716e+10,3.1354e+10,6.0070e+10,1.5017e+12,1.2106e+11,1.6228e+12,7.4601
0.85,25,3.0511e+10,3.3313e+10,6.3824e+10,1.5956e+12,1.2106e+11,1.7167e+12,7.0522
0.9,25,3.2306e+10,3.5273e+10,6.7579e+10,1.6895e+12,1.2106e+11,1.8105e+12,6.6866
0.5,30,1.7948e+10,1.9596e+10,3.7544e+10,1.1263e+12,1.2106e+11,1.2474e+12,9.7054
0.55,30,1.9743e+10,2.1556e+10,4.1298e+10,1.2389e+12,1.2106e+11,1.3600e+12,8.9016
0.6,30,2.1537e+10,2.3515e+10,4.5052e+10,1.3516e+12,1.2106e+11,1.4726e+12,8.2208
0.65,30,2.3332e+10,2.5475e+10,4.8807e+10,1.4642e+12,1.2106e+11,1.5853e+12,7.6367
0.7,30,2.5127e+10,2.7434e+10,5.2561e+10,1.5768e+12,1.2106e+11,1.6979e+12,7.1301
0.75,30,2.6922e+10,2.9394e+10,5.6316e+10,1.6895e+12,1.2106e+11,1.8105e+12,6.6866
0.8,30,2.8716e+10,3.1354e+10,6.0070e+10,1.8021e+12,1.2106e+11,1.9232e+12,6.295
0.85,30,3.0511e+10,3.3313e+10,6.3824e+10,1.9147e+12,1.2106e+11,2.0358e+12,5.9467
0.9,30,3.2306e+10,3.5273e+10,6.7579e+10,2.0274e+12,1.2106e+11,2.1484e+12,5.635
