Operating Factor,Lifetime (yr),Annual Production (MM gal/yr),Annual Energy (MJ/yr),Annual Op. Emissions (gCO2e/yr),Lifetime Op. Emissions (gCO2e),Construction Emissions (gCO2e),Total Emissions (gCO2e),Construction Share (%)
0.5,10,31.771,2.6816e+09,6.1677e+10,6.1677e+11,1.1302e+11,7.2979e+11,15.4866
0.5511,10,35.019,2.9557e+09,6.7982e+10,6.7982e+11,1.1302e+11,7.9283e+11,14.2551
0.6022,10,38.266,3.2298e+09,7.4286e+10,7.4286e+11,1.1302e+11,8.5588e+11,13.205
0.6533,10,41.514,3.5040e+09,8.0591e+10,8.0591e+11,1.1302e+11,9.1893e+11,12.299
0.7044,10,44.762,3.7781e+09,8.6896e+10,8.6896e+11,1.1302e+11,9.8198e+11,11.5093
0.7556,10,48.009,4.0522e+09,9.3201e+10,9.3201e+11,1.1302e+11,1.0450e+12,10.815
0.8067,10,51.257,4.3263e+09,9.9505e+10,9.9505e+11,1.1302e+11,1.1081e+12,10.1996
0.8578,10,54.505,4.6004e+09,1.0581e+11,1.0581e+12,1.1302e+11,1.1711e+12,9.6505
0.9089,10,57.752,4.8746e+09,1.1211e+11,1.1211e+12,1.1302e+11,1.2342e+12,9.1575
0.96,10,61.0,5.1487e+09,1.1842e+11,1.1842e+12,1.1302e+11,1.2972e+12,8.7124
0.5,15,31.771,2.6816e+09,6.1677e+10,9.2515e+11,1.1302e+11,1.0382e+12,10.8864
0.5511,15,35.019,2.9557e+09,6.7982e+10,1.0197e+12,1.1302e+11,1.1327e+12,9.9775
0.6022,15,38.266,3.2298e+09,7.4286e+10,1.1143e+12,1.1302e+11,1.2273e+12,9.2086
0.6533,15,41.514,3.5040e+09,8.0591e+10,1.2089e+12,1.1302e+11,1.3219e+12,8.5498
0.7044,15,44.762,3.7781e+09,8.6896e+10,1.3034e+12,1.1302e+11,1.4165e+12,7.979
0.7556,15,48.009,4.0522e+09,9.3201e+10,1.3980e+12,1.1302e+11,1.5110e+12,7.4796
0.8067,15,51.257,4.3263e+09,9.9505e+10,1.4926e+12,1.1302e+11,1.6056e+12,7.0391
0.8578,15,54.505,4.6004e+09,1.0581e+11,1.5872e+12,1.1302e+11,1.7002e+12,6.6475
0.9089,15,57.752,4.8746e+09,1.1211e+11,1.6817e+12,1.1302e+11,1.7947e+12,6.2972
0.96,15,61.0,5.1487e+09,1.1842e+11,1.7763e+12,1.1302e+11,1.8893e+12,5.982
