Gasoline Yield (GGE/dry ton),Annual GGE,Annual MJ,Annual Op. Emissions (gCO2e),Lifetime Op. Emissions (gCO2e),Construction Emissions (gCO2e),Total Emissions (gCO2e),Construction Share (%)
75.0,"54,325,687.5",6.6539e+09,6.1216e+10,1.8365e+12,1.1286e+11,1.9493e+12,5.7898
80.15,"58,058,837.3",7.1111e+09,6.5422e+10,1.9627e+12,1.1286e+11,2.0755e+12,5.4377
85.31,"61,791,987.1",7.5684e+09,6.9629e+10,2.0889e+12,1.1286e+11,2.2017e+12,5.1261
90.46,"65,525,136.9",8.0256e+09,7.3836e+10,2.2151e+12,1.1286e+11,2.3279e+12,4.8482
95.62,"69,258,286.7",8.4829e+09,7.8042e+10,2.3413e+12,1.1286e+11,2.4541e+12,4.5989
100.77,"72,991,436.5",8.9401e+09,8.2249e+10,2.4675e+12,1.1286e+11,2.5803e+12,4.374
105.92,"76,724,586.3",9.3973e+09,8.6456e+10,2.5937e+12,1.1286e+11,2.7065e+12,4.17
111.08,"80,457,736.2",9.8546e+09,9.0662e+10,2.7199e+12,1.1286e+11,2.8327e+12,3.9842
116.23,"84,190,886.0",1.0312e+10,9.4869e+10,2.8461e+12,1.1286e+11,2.9589e+12,3.8143
121.38,"87,924,035.8",1.0769e+10,9.9075e+10,2.9723e+12,1.1286e+11,3.0851e+12,3.6583
126.54,"91,657,185.6",1.1226e+10,1.0328e+11,3.0985e+12,1.1286e+11,3.2113e+12,3.5145
131.69,"95,390,335.4",1.1684e+10,1.0749e+11,3.2247e+12,1.1286e+11,3.3375e+12,3.3816
136.85,"99,123,485.2",1.2141e+10,1.1170e+11,3.3509e+12,1.1286e+11,3.4637e+12,3.2584
142.0,"102,856,635.0",1.2598e+10,1.1590e+11,3.4771e+12,1.1286e+11,3.5899e+12,3.1439
